Producto,Categoria,Precio,Cantidad,Cliente,Ciudad,Pais,Fecha
Vegie-spread,Condiments,"43,9",20,Alfreds Futterkiste,Berlin,Germany,3/11/2015
Mishi Kobe Niku,Meat/Poultry,97,6,White Clover Markets,Seattle,USA,6/11/2015
Tourtière,Meat/Poultry,"7,45",60,White Clover Markets,Seattle,USA,6/11/2015
Gudbrandsdalsost,Dairy Products,36,30,White Clover Markets,Seattle,USA,6/11/2015
Röd Kaviar,Seafood,15,15,White Clover Markets,Seattle,USA,6/11/2015
Uncle Bob's Organic Dried Pears,Produce,30,90,QUICK-Stop,Cunewalde,Germany,6/11/2015
Raclette Courdavault,Dairy Products,55,25,QUICK-Stop,Cunewalde,Germany,6/11/2015
Outback Lager,Beverages,15,50,QUICK-Stop,Cunewalde,Germany,6/11/2015
Northwoods Cranberry Sauce,Condiments,40,10,Wilman Kala,Helsinki,Finland,7/11/2015
Queso Manchego La Pastora,Dairy Products,38,4,Wilman Kala,Helsinki,Finland,7/11/2015
Guaraná Fantástica,Beverages,"4,5",20,Wilman Kala,Helsinki,Finland,7/11/2015
Alice Mutton,Meat/Poultry,39,20,White Clover Markets,Seattle,USA,8/11/2015
Spegesild,Seafood,12,18,White Clover Markets,Seattle,USA,8/11/2015
Teatime Chocolate Biscuits,Confections,"9,2",7,LINO-Delicateses,I. de Margarita,Venezuela,8/11/2015
Steeleye Stout,Beverages,18,9,LINO-Delicateses,I. de Margarita,Venezuela,8/11/2015
Escargots de Bourgogne,Seafood,"13,25",30,LINO-Delicateses,I. de Margarita,Venezuela,8/11/2015
Outback Lager,Beverages,15,30,LINO-Delicateses,I. de Margarita,Venezuela,8/11/2015
Thüringer Rostbratwurst,Meat/Poultry,"123,79",12,Ernst Handel,Graz,Austria,9/11/2015
Louisiana Fiery Hot Pepper Sauce,Condiments,"21,05",65,Ernst Handel,Graz,Austria,9/11/2015
Alice Mutton,Meat/Poultry,39,8,Ernst Handel,Graz,Austria,9/11/2015
Queso Cabrales,Dairy Products,21,15,Ernst Handel,Graz,Austria,9/11/2015
Outback Lager,Beverages,15,8,Ernst Handel,Graz,Austria,9/11/2015
Zaanse koeken,Confections,"9,5",12,Morgenstern Gesundkost,Leipzig,Germany,9/11/2015
Chai,Beverages,18,5,Save-a-lot Markets,Boise,USA,10/11/2015
Sasquatch Ale,Beverages,14,12,Save-a-lot Markets,Boise,USA,10/11/2015
Scottish Longbreads,Confections,"12,5",40,Save-a-lot Markets,Boise,USA,10/11/2015
Fløtemysost,Dairy Products,"21,5",60,Save-a-lot Markets,Boise,USA,10/11/2015
Fløtemysost,Dairy Products,"21,5",20,Hungry Owl All-Night Grocers,Cork,Ireland,13/11/2015
Lakkalikööri,Beverages,18,35,Hungry Owl All-Night Grocers,Cork,Ireland,13/11/2015
Raclette Courdavault,Dairy Products,55,42,Hungry Owl All-Night Grocers,Cork,Ireland,13/11/2015
Aniseed Syrup,Condiments,10,6,Alfreds Futterkiste,Berlin,Germany,13/11/2015
Lakkalikööri,Beverages,18,15,Alfreds Futterkiste,Berlin,Germany,13/11/2015
Chang,Beverages,19,5,Folk och fä HB,Bräcke,Sweden,14/11/2015
Raclette Courdavault,Dairy Products,55,35,Folk och fä HB,Bräcke,Sweden,14/11/2015
Röd Kaviar,Seafood,15,35,Folk och fä HB,Bräcke,Sweden,14/11/2015
Guaraná Fantástica,Beverages,"4,5",35,Queen Cozinha,São Paulo,Brazil,14/11/2015
Chocolade,Confections,"12,75",24,Queen Cozinha,São Paulo,Brazil,14/11/2015
Chef Anton's Cajun Seasoning,Condiments,22,6,Queen Cozinha,São Paulo,Brazil,14/11/2015
Mascarpone Fabioli,Dairy Products,32,4,HILARIÓN-Abastos,San Cristóbal,Venezuela,15/11/2015
Gorgonzola Telino,Dairy Products,"12,5",20,HILARIÓN-Abastos,San Cristóbal,Venezuela,15/11/2015
Pavlova,Confections,"17,45",20,Old World Delicatessen,Anchorage,USA,16/11/2015
Ipoh Coffee,Beverages,46,24,Old World Delicatessen,Anchorage,USA,16/11/2015
Raclette Courdavault,Dairy Products,55,8,Old World Delicatessen,Anchorage,USA,16/11/2015
Outback Lager,Beverages,15,28,Around the Horn,Colchester,UK,16/11/2015
Pâté chinois,Meat/Poultry,24,21,Around the Horn,Colchester,UK,16/11/2015
Ravioli Angelo,Grains/Cereals,"19,5",40,Around the Horn,Colchester,UK,16/11/2015
Chef Anton's Gumbo Mix,Condiments,"21,35",4,The Big Cheese,Portland,USA,17/11/2015
Inlagd Sill,Seafood,19,5,The Big Cheese,Portland,USA,17/11/2015
Northwoods Cranberry Sauce,Condiments,40,40,Gourmet Lanchonetes,Campinas,Brazil,17/11/2015
Manjimup Dried Apples,Produce,53,28,Gourmet Lanchonetes,Campinas,Brazil,17/11/2015
Camembert Pierrot,Dairy Products,34,10,Gourmet Lanchonetes,Campinas,Brazil,17/11/2015
Teatime Chocolate Biscuits,Confections,"9,2",5,Franchi S.p.A.,Torino,Italy,20/11/2015
Zaanse koeken,Confections,"9,5",5,Franchi S.p.A.,Torino,Italy,20/11/2015
Jack's New England Clam Chowder,Seafood,"9,65",42,Save-a-lot Markets,Boise,USA,21/11/2015
Perth Pasties,Meat/Poultry,"32,8",120,Save-a-lot Markets,Boise,USA,21/11/2015
Teatime Chocolate Biscuits,Confections,"9,2",12,Save-a-lot Markets,Boise,USA,21/11/2015
Gnocchi di nonna Alice,Grains/Cereals,38,30,Hungry Owl All-Night Grocers,Cork,Ireland,21/11/2015
Perth Pasties,Meat/Poultry,"32,8",3,Hungry Owl All-Night Grocers,Cork,Ireland,21/11/2015
Ikura,Seafood,31,18,Save-a-lot Markets,Boise,USA,22/11/2015
Gumbär Gummibärchen,Confections,"31,23",30,Save-a-lot Markets,Boise,USA,22/11/2015
Røgede sild,Seafood,"9,5",110,Save-a-lot Markets,Boise,USA,22/11/2015
Spegesild,Seafood,12,24,Save-a-lot Markets,Boise,USA,22/11/2015
Chang,Beverages,19,30,Save-a-lot Markets,Boise,USA,22/11/2015
Escargots de Bourgogne,Seafood,"13,25",12,Save-a-lot Markets,Boise,USA,22/11/2015
Gnocchi di nonna Alice,Grains/Cereals,38,18,Save-a-lot Markets,Boise,USA,22/11/2015
Alice Mutton,Meat/Poultry,39,27,Save-a-lot Markets,Boise,USA,22/11/2015
Zaanse koeken,Confections,"9,5",50,Save-a-lot Markets,Boise,USA,22/11/2015
Ikura,Seafood,31,21,Bon app',Marseille,France,23/11/2015
Fløtemysost,Dairy Products,"21,5",30,Bon app',Marseille,France,23/11/2015
Sir Rodney's Scones,Confections,10,5,Rancho grande,Buenos Aires,Argentina,24/11/2015
Manjimup Dried Apples,Produce,53,7,Rancho grande,Buenos Aires,Argentina,24/11/2015
Sirop d'érable,Condiments,"28,5",10,Rancho grande,Buenos Aires,Argentina,24/11/2015
Sir Rodney's Scones,Confections,10,32,Frankenversand,München,Germany,24/11/2015
Tourtière,Meat/Poultry,"7,45",15,Frankenversand,München,Germany,24/11/2015
Gudbrandsdalsost,Dairy Products,36,25,Frankenversand,München,Germany,24/11/2015
Queso Manchego La Pastora,Dairy Products,38,36,Königlich Essen,Brandenburg,Germany,27/11/2015
Pavlova,Confections,"17,45",20,Königlich Essen,Brandenburg,Germany,27/11/2015
Inlagd Sill,Seafood,19,40,Königlich Essen,Brandenburg,Germany,27/11/2015
Tarte au sucre,Confections,"49,3",20,Königlich Essen,Brandenburg,Germany,27/11/2015
Carnarvon Tigers,Seafood,"62,5",12,Let's Stop N Shop,San Francisco,USA,27/11/2015
Nord-Ost Matjeshering,Seafood,"25,89",3,Let's Stop N Shop,San Francisco,USA,27/11/2015
Tourtière,Meat/Poultry,"7,45",40,Let's Stop N Shop,San Francisco,USA,27/11/2015
Steeleye Stout,Beverages,18,21,Que Delícia,Rio de Janeiro,Brazil,28/11/2015
Fløtemysost,Dairy Products,"21,5",8,Que Delícia,Rio de Janeiro,Brazil,28/11/2015
Gula Malacca,Condiments,"19,45",50,QUICK-Stop,Cunewalde,Germany,29/11/2015
Rhönbräu Klosterbier,Beverages,"7,75",42,Save-a-lot Markets,Boise,USA,29/11/2015
Chang,Beverages,19,3,Save-a-lot Markets,Boise,USA,29/11/2015
Gorgonzola Telino,Dairy Products,"12,5",50,Save-a-lot Markets,Boise,USA,29/11/2015
Scottish Longbreads,Confections,"12,5",45,Save-a-lot Markets,Boise,USA,29/11/2015
Gumbär Gummibärchen,Confections,"31,23",15,White Clover Markets,Seattle,USA,30/11/2015
Sirop d'érable,Condiments,"28,5",5,Mère Paillarde,Montréal,Canada,30/11/2015
Ikura,Seafood,31,16,Mère Paillarde,Montréal,Canada,30/11/2015
Jack's New England Clam Chowder,Seafood,"9,65",12,Familia Arquibaldo,São Paulo,Brazil,1/12/2015
Filo Mix,Grains/Cereals,7,4,Familia Arquibaldo,São Paulo,Brazil,1/12/2015
Pâté chinois,Meat/Poultry,24,6,Familia Arquibaldo,São Paulo,Brazil,1/12/2015
Queso Cabrales,Dairy Products,21,5,Eastern Connection,London,UK,4/12/2015
Chef Anton's Cajun Seasoning,Condiments,22,25,Eastern Connection,London,UK,4/12/2015
Raclette Courdavault,Dairy Products,55,10,Reggiani Caseifici,Reggio Emilia,Italy,4/12/2015
Gnocchi di nonna Alice,Grains/Cereals,38,10,Reggiani Caseifici,Reggio Emilia,Italy,4/12/2015
Alice Mutton,Meat/Poultry,39,20,Reggiani Caseifici,Reggio Emilia,Italy,4/12/2015
Nord-Ost Matjeshering,Seafood,"25,89",15,Queen Cozinha,São Paulo,Brazil,5/12/2015
Boston Crab Meat,Seafood,"18,4",6,Queen Cozinha,São Paulo,Brazil,5/12/2015
Pâté chinois,Meat/Poultry,24,12,Queen Cozinha,São Paulo,Brazil,5/12/2015
Camembert Pierrot,Dairy Products,34,15,Queen Cozinha,São Paulo,Brazil,5/12/2015
Sir Rodney's Scones,Confections,10,30,LINO-Delicateses,I. de Margarita,Venezuela,5/12/2015
Valkoinen suklaa,Confections,"16,25",40,LINO-Delicateses,I. de Margarita,Venezuela,5/12/2015
Chai,Beverages,18,50,LINO-Delicateses,I. de Margarita,Venezuela,5/12/2015
Gorgonzola Telino,Dairy Products,"12,5",3,Bon app',Marseille,France,6/12/2015
Louisiana Fiery Hot Pepper Sauce,Condiments,"21,05",10,Bon app',Marseille,France,6/12/2015
Pavlova,Confections,"17,45",15,Bon app',Marseille,France,6/12/2015
Sir Rodney's Scones,Confections,10,40,Chop-suey Chinese,Bern,Switzerland,7/12/2015
Manjimup Dried Apples,Produce,53,30,Chop-suey Chinese,Bern,Switzerland,7/12/2015
Lakkalikööri,Beverages,18,20,Bon app',Marseille,France,7/12/2015
Filo Mix,Grains/Cereals,7,25,Berglunds snabbköp,Luleå,Sweden,8/12/2015
Tofu,Produce,"23,25",16,Berglunds snabbköp,Luleå,Sweden,8/12/2015
Rössle Sauerkraut,Produce,"45,6",20,Berglunds snabbköp,Luleå,Sweden,8/12/2015
Grandma's Boysenberry Spread,Condiments,25,30,Gourmet Lanchonetes,Campinas,Brazil,8/12/2015
Nord-Ost Matjeshering,Seafood,"25,89",15,Gourmet Lanchonetes,Campinas,Brazil,8/12/2015
Lakkalikööri,Beverages,18,20,Gourmet Lanchonetes,Campinas,Brazil,8/12/2015
Sirop d'érable,Condiments,"28,5",20,Let's Stop N Shop,San Francisco,USA,11/12/2015
Original Frankfurter grüne Soße,Condiments,13,2,Let's Stop N Shop,San Francisco,USA,11/12/2015
Louisiana Fiery Hot Pepper Sauce,Condiments,"21,05",40,Hungry Owl All-Night Grocers,Cork,Ireland,12/12/2015
Rhönbräu Klosterbier,Beverages,"7,75",20,Hungry Owl All-Night Grocers,Cork,Ireland,12/12/2015
Jack's New England Clam Chowder,Seafood,"9,65",12,Vins et alcools Chevalier,Reims,France,12/12/2015
Konbu,Seafood,6,4,Vins et alcools Chevalier,Reims,France,12/12/2015
Pavlova,Confections,"17,45",3,Spécialités du monde,Paris,France,13/12/2015
Inlagd Sill,Seafood,19,6,Vins et alcools Chevalier,Reims,France,13/12/2015
Filo Mix,Grains/Cereals,7,18,Vins et alcools Chevalier,Reims,France,13/12/2015
Gnocchi di nonna Alice,Grains/Cereals,38,14,White Clover Markets,Seattle,USA,14/12/2015
Røgede sild,Seafood,"9,5",40,White Clover Markets,Seattle,USA,14/12/2015
Steeleye Stout,Beverages,18,35,White Clover Markets,Seattle,USA,14/12/2015
Rössle Sauerkraut,Produce,"45,6",5,White Clover Markets,Seattle,USA,14/12/2015
Chang,Beverages,19,15,Around the Horn,Colchester,UK,15/12/2015
Aniseed Syrup,Condiments,10,20,Bottom-Dollar Markets,Tsawassen,Canada,15/12/2015
Camembert Pierrot,Dairy Products,34,50,Bottom-Dollar Markets,Tsawassen,Canada,15/12/2015
Mozzarella di Giovanni,Dairy Products,"34,8",35,Bottom-Dollar Markets,Tsawassen,Canada,15/12/2015
Spegesild,Seafood,12,28,Around the Horn,Colchester,UK,18/12/2015
Boston Crab Meat,Seafood,"18,4",50,Vaffeljernet,Århus,Denmark,18/12/2015
Carnarvon Tigers,Seafood,"62,5",24,QUICK-Stop,Cunewalde,Germany,19/12/2015
Mozzarella di Giovanni,Dairy Products,"34,8",7,QUICK-Stop,Cunewalde,Germany,19/12/2015
Gula Malacca,Condiments,"19,45",16,QUICK-Stop,Cunewalde,Germany,19/12/2015
Raclette Courdavault,Dairy Products,55,45,QUICK-Stop,Cunewalde,Germany,19/12/2015
Konbu,Seafood,6,6,Chop-suey Chinese,Bern,Switzerland,20/12/2015
Singaporean Hokkien Fried Mee,Grains/Cereals,14,28,Chop-suey Chinese,Bern,Switzerland,20/12/2015
Tarte au sucre,Confections,"49,3",9,Chop-suey Chinese,Bern,Switzerland,20/12/2015
Gudbrandsdalsost,Dairy Products,36,40,Chop-suey Chinese,Bern,Switzerland,20/12/2015
Gorgonzola Telino,Dairy Products,"12,5",8,Piccolo und mehr,Salzburg,Austria,20/12/2015
Gudbrandsdalsost,Dairy Products,36,30,Piccolo und mehr,Salzburg,Austria,20/12/2015
Vegie-spread,Condiments,"43,9",9,Piccolo und mehr,Salzburg,Austria,20/12/2015
Jack's New England Clam Chowder,Seafood,"9,65",35,Piccolo und mehr,Salzburg,Austria,20/12/2015
Tunnbröd,Grains/Cereals,9,44,Save-a-lot Markets,Boise,USA,21/12/2015
Boston Crab Meat,Seafood,"18,4",40,Save-a-lot Markets,Boise,USA,21/12/2015
Gnocchi di nonna Alice,Grains/Cereals,38,28,Save-a-lot Markets,Boise,USA,21/12/2015
Lakkalikööri,Beverages,18,10,Island Trading,Cowes,UK,21/12/2015
Gnocchi di nonna Alice,Grains/Cereals,38,15,Island Trading,Cowes,UK,21/12/2015
Raclette Courdavault,Dairy Products,55,6,Island Trading,Cowes,UK,21/12/2015
Raclette Courdavault,Dairy Products,55,25,Wartian Herkku,Oulu,Finland,22/12/2015
Tofu,Produce,"23,25",5,Wartian Herkku,Oulu,Finland,22/12/2015
Røgede sild,Seafood,"9,5",40,Wartian Herkku,Oulu,Finland,22/12/2015
Gumbär Gummibärchen,Confections,"31,23",12,Richter Supermarkt,Genève,Switzerland,25/12/2015
Nord-Ost Matjeshering,Seafood,"25,89",30,Richter Supermarkt,Genève,Switzerland,25/12/2015
Valkoinen suklaa,Confections,"16,25",20,Richter Supermarkt,Genève,Switzerland,25/12/2015
Röd Kaviar,Seafood,15,15,Richter Supermarkt,Genève,Switzerland,25/12/2015
Chai,Beverages,18,8,North/South,London,UK,25/12/2015
Gudbrandsdalsost,Dairy Products,36,3,North/South,London,UK,25/12/2015
Longlife Tofu,Produce,10,5,Franchi S.p.A.,Torino,Italy,26/12/2015
Røgede sild,Seafood,"9,5",4,Franchi S.p.A.,Torino,Italy,26/12/2015
Boston Crab Meat,Seafood,"18,4",3,Magazzini Alimentari Riuniti,Bergamo,Italy,26/12/2015
Gudbrandsdalsost,Dairy Products,36,25,Bon app',Marseille,France,27/12/2015
Zaanse koeken,Confections,"9,5",30,Bon app',Marseille,France,27/12/2015
Gnocchi di nonna Alice,Grains/Cereals,38,30,Bon app',Marseille,France,27/12/2015
Ravioli Angelo,Grains/Cereals,"19,5",14,Bon app',Marseille,France,27/12/2015
Gudbrandsdalsost,Dairy Products,36,20,Split Rail Beer & Ale,Lander,USA,28/12/2015
Scottish Longbreads,Confections,"12,5",6,Split Rail Beer & Ale,Lander,USA,28/12/2015
Carnarvon Tigers,Seafood,"62,5",21,Split Rail Beer & Ale,Lander,USA,28/12/2015
Inlagd Sill,Seafood,19,20,Split Rail Beer & Ale,Lander,USA,28/12/2015
Wimmers gute Semmelknödel,Grains/Cereals,"33,25",24,Save-a-lot Markets,Boise,USA,28/12/2015
Sasquatch Ale,Beverages,14,30,Save-a-lot Markets,Boise,USA,28/12/2015
Raclette Courdavault,Dairy Products,55,7,Save-a-lot Markets,Boise,USA,28/12/2015
Tarte au sucre,Confections,"49,3",30,Save-a-lot Markets,Boise,USA,28/12/2015
Outback Lager,Beverages,15,40,Richter Supermarkt,Genève,Switzerland,29/12/2015
Filo Mix,Grains/Cereals,7,60,Richter Supermarkt,Genève,Switzerland,29/12/2015
Gumbär Gummibärchen,Confections,"31,23",20,Richter Supermarkt,Genève,Switzerland,29/12/2015
Mascarpone Fabioli,Dairy Products,32,10,Ana Trujillo Emparedados y helados,México D.F.,Mexico,29/12/2015
Uncle Bob's Organic Dried Pears,Produce,30,1,Rattlesnake Canyon Grocery,Albuquerque,USA,5/6/2015
Grandma's Boysenberry Spread,Condiments,25,1,Rattlesnake Canyon Grocery,Albuquerque,USA,5/6/2015
Chef Anton's Cajun Seasoning,Condiments,22,1,Rattlesnake Canyon Grocery,Albuquerque,USA,5/6/2015
Aniseed Syrup,Condiments,10,4,Rattlesnake Canyon Grocery,Albuquerque,USA,5/6/2015
Chang,Beverages,19,24,Rattlesnake Canyon Grocery,Albuquerque,USA,5/6/2015
Original Frankfurter grüne Soße,Condiments,13,2,Rattlesnake Canyon Grocery,Albuquerque,USA,5/6/2015
Tofu,Produce,"23,25",1,Rattlesnake Canyon Grocery,Albuquerque,USA,5/6/2015
